t=5s , Distance to target([28.744444, 77.138056]): 1683.3039185296657, Velocity: 80m/s
t=10s , Distance to target([28.744444, 77.138056]): 1283.3039185331306, Velocity: 80m/s
t=15s , Distance to target([28.744444, 77.138056]): 883.30391853599, Velocity: 80m/s
t=20s , Distance to target([28.744444, 77.138056]): 537.9483834168732, Velocity: 52.58366032217256m/s
t=25s , Distance to target([28.744444, 77.138056]): 318.6233793266789, Velocity: 41.78448446223982m/s
t=30s , Distance to target([28.744444, 77.138056]): 198.19283597494834, Velocity: 10m/s
t=35s , Distance to target([28.744444, 77.138056]): 107.74334891759139, Velocity: 16.3622434862448m/s
t=40s , Distance to target([28.744444, 77.138056]): 56.643279794251676, Velocity: 10m/s
t=45s , Distance to target([28.744444, 77.138056]): 6.643279791342027, Velocity: 10m/s
t=50s , Distance to target([28.723611, 77.113333]): 3025.053391826798, Velocity: 80m/s
t=55s , Distance to target([28.723611, 77.113333]): 2625.0533918297638, Velocity: 80m/s
t=60s , Distance to target([28.723611, 77.113333]): 2225.053391831244, Velocity: 80m/s
t=65s , Distance to target([28.723611, 77.113333]): 1825.0533918299666, Velocity: 80m/s
t=70s , Distance to target([28.723611, 77.113333]): 1425.0533918306003, Velocity: 80m/s
t=75s , Distance to target([28.723611, 77.113333]): 1025.0533918312858, Velocity: 80m/s
t=80s , Distance to target([28.723611, 77.113333]): 639.0277338827248, Velocity: 66.02565794731322m/s
t=85s , Distance to target([28.723611, 77.113333]): 373.70164469858463, Velocity: 48.04628979680794m/s
t=90s , Distance to target([28.723611, 77.113333]): 223.4703870806107, Velocity: 16.14744300691794m/s
t=95s , Distance to target([28.723611, 77.113333]): 115.5337847330793, Velocity: 22.966387359108744m/s
t=100s , Distance to target([28.723611, 77.113333]): 58.033875893195756, Velocity: 10m/s
t=105s , Distance to target([28.723611, 77.113333]): 8.033875893257699, Velocity: 10m/s
